project;version;CloneClassID;pcid;file;startline;endline;len;type;similarity;TD;CodeSmell;recurrence;newPath;debt/smell
dnsJava2.1.5;2.1.5;1;152;org/xbill/DNS/DSRecord.java;99;113;14;1;100;209;46;1;1;4,543
dnsJava2.1.5;2.1.5;1;1020;org/xbill/DNS/DLVRecord.java;74;88;14;1;100;173;36;1;1;4,806
dnsJava2.1.5;2.1.5;2;1521;tests/org/xbill/DNS/SingleCompressedNameBaseTest.java;84;108;24;1;100;166;32;2;1;5,188
dnsJava2.1.5;2.1.5;2;1949;tests/org/xbill/DNS/SingleNameBaseTest.java;139;163;24;1;100;282;51;3;1;5,529
dnsJava2.1.5;2.1.5;3;1860;tests/org/xbill/DNS/APLRecordTest.java;111;131;20;1;100;2040;342;11;1;5,965
dnsJava2.1.5;2.1.5;3;1890;tests/org/xbill/DNS/APLRecordTest.java;526;546;20;1;100;2040;342;-1;0;5,965
dnsJava2.1.5;2.1.5;3;1892;tests/org/xbill/DNS/APLRecordTest.java;568;588;20;1;100;2040;342;-1;0;5,965
dnsJava2.1.5;2.1.5;2;1071;org/xbill/DNS/Zone.java;305;328;23;2;100;1320;234;2;1;5,641
dnsJava2.1.5;2.1.5;2;1342;org/xbill/DNS/Cache.java;288;311;23;2;100;1920;385;2;1;4,987
dnsJava2.1.5;2.1.5;3;1397;tests/org/xbill/DNS/CNAMERecordTest.java;49;61;12;2;100;51;12;1;1;4,25
dnsJava2.1.5;2.1.5;3;1453;tests/org/xbill/DNS/MDRecordTest.java;49;61;12;2;100;51;12;1;1;4,25
dnsJava2.1.5;2.1.5;3;2019;tests/org/xbill/DNS/DNAMERecordTest.java;49;61;12;2;100;51;12;1;1;4,25
dnsJava2.1.5;2.1.5;3;1657;tests/org/xbill/DNS/MBRecordTest.java;49;61;12;2;100;51;12;1;1;4,25
dnsJava2.1.5;2.1.5;3;1654;tests/org/xbill/DNS/MFRecordTest.java;49;61;12;2;100;51;12;1;1;4,25
dnsJava2.1.5;2.1.5;3;1958;tests/org/xbill/DNS/NSRecordTest.java;49;61;12;2;100;51;12;1;1;4,25
dnsJava2.1.5;2.1.5;4;1400;tests/org/xbill/DNS/MRRecordTest.java;48;59;11;2;100;49;12;1;1;4,083
dnsJava2.1.5;2.1.5;4;2027;tests/org/xbill/DNS/NSAP_PTRRecordTest.java;48;59;11;2;100;54;13;1;1;4,154
dnsJava2.1.5;2.1.5;4;1961;tests/org/xbill/DNS/MGRecordTest.java;48;59;11;2;100;49;12;1;1;4,083
dnsJava2.1.5;2.1.5;5;1423;tests/org/xbill/DNS/MXRecordTest.java;49;62;13;2;100;63;12;2;1;5,25
dnsJava2.1.5;2.1.5;5;1986;tests/org/xbill/DNS/KXRecordTest.java;49;62;13;2;100;45;11;1;1;4,091
dnsJava2.1.5;2.1.5;7;1533;tests/org/xbill/DNS/NameTest.java;196;215;19;2;100;4800;783;12;1;6,13
dnsJava2.1.5;2.1.5;7;1534;tests/org/xbill/DNS/NameTest.java;217;236;19;2;100;4800;783;-1;0;6,13
dnsJava2.1.5;2.1.5;8;1672;tests/org/xbill/DNS/AddressTest.java;283;297;14;2;100;1140;181;2;1;6,298
dnsJava2.1.5;2.1.5;8;1674;tests/org/xbill/DNS/AddressTest.java;317;331;14;2;100;1140;181;-1;0;6,298
dnsJava2.1.5;2.1.5;9;1794;tests/org/xbill/DNS/RTRecordTest.java;49;61;12;2;100;45;11;1;1;4,091
dnsJava2.1.5;2.1.5;9;2013;tests/org/xbill/DNS/AFSDBRecordTest.java;49;61;12;2;100;45;11;1;1;4,091
dnsJava2.1.5;2.1.5;10;1842;tests/org/xbill/DNS/HeaderTest.java;261;275;14;2;100;1260;282;6;1;4,468
dnsJava2.1.5;2.1.5;10;1844;tests/org/xbill/DNS/HeaderTest.java;291;305;14;2;100;1260;282;-1;0;4,468
dnsJava2.1.5;2.1.5;12;1904;tests/org/xbill/DNS/DNSKEYRecordTest.java;45;57;12;2;100;203;38;2;1;5,342
dnsJava2.1.5;2.1.5;12;2071;tests/org/xbill/DNS/KEYRecordTest.java;45;57;12;2;100;378;68;3;1;5,559
dnsJava2.1.5;2.1.5;13;1906;tests/org/xbill/DNS/DNSKEYRecordTest.java;66;88;22;2;100;203;38;-1;0;5,342
dnsJava2.1.5;2.1.5;13;2073;tests/org/xbill/DNS/KEYRecordTest.java;66;88;22;2;100;378;68;-1;0;5,559
dnsJava2.1.5;2.1.5;14;2103;jnamed.java;602;608;6;2;100;2400;393;2;1;6,107
dnsJava2.1.5;2.1.5;14;2105;jnamed.java;610;616;6;2;100;2400;393;-1;0;6,107
dnsJava2.1.5;2.1.5;1;48;org/xbill/DNS/UDPClient.java;140;155;15;3;72;388;80;1;1;4,85
dnsJava2.1.5;2.1.5;1;1299;org/xbill/DNS/TCPClient.java;110;125;15;3;72;600;89;1;1;6,742
dnsJava2.1.5;2.1.5;2;81;org/xbill/DNS/Tokenizer.java;587;600;13;3;80;1200;279;2;1;4,301
dnsJava2.1.5;2.1.5;2;83;org/xbill/DNS/Tokenizer.java;625;638;13;3;80;1200;279;-1;0;4,301
dnsJava2.1.5;2.1.5;3;686;org/xbill/DNS/CERTRecord.java;164;182;18;3;72;288;65;1;1;4,431
dnsJava2.1.5;2.1.5;3;1282;org/xbill/DNS/TLSARecord.java;110;122;12;3;72;222;55;1;1;4,036
dnsJava2.1.5;2.1.5;3;843;org/xbill/DNS/KEYBase.java;49;69;20;3;72;312;64;1;1;4,875
dnsJava2.1.5;2.1.5;4;296;org/xbill/DNS/TKEYRecord.java;63;76;13;3;70;355;82;1;1;4,329
dnsJava2.1.5;2.1.5;4;666;org/xbill/DNS/TSIGRecord.java;53;66;13;3;70;455;91;1;1;5
dnsJava2.1.5;2.1.5;5;331;org/xbill/DNS/IPSECKEYRecord.java;98;121;23;3;70;480;98;2;1;4,898
dnsJava2.1.5;2.1.5;5;332;org/xbill/DNS/IPSECKEYRecord.java;123;148;25;3;70;480;98;-1;0;4,898
dnsJava2.1.5;2.1.5;6;425;org/xbill/DNS/DNSSEC.java;511;537;26;3;80;4200;440;2;1;9,545
dnsJava2.1.5;2.1.5;6;435;org/xbill/DNS/DNSSEC.java;857;882;25;3;80;4200;440;-1;0;9,545
dnsJava2.1.5;2.1.5;7;641;org/xbill/DNS/NSEC3PARAMRecord.java;92;108;16;3;85;259;56;1;1;4,625
dnsJava2.1.5;2.1.5;7;1115;org/xbill/DNS/NSEC3Record.java;137;155;18;3;85;480;94;1;1;5,106
dnsJava2.1.5;2.1.5;8;952;org/xbill/DNS/Lookup.java;170;180;10;3;70;900;222;2;1;4,054
dnsJava2.1.5;2.1.5;8;962;org/xbill/DNS/Lookup.java;329;339;10;3;70;900;222;-1;0;4,054
dnsJava2.1.5;2.1.5;9;1070;org/xbill/DNS/Zone.java;272;303;31;3;96;1320;234;-1;0;5,641
dnsJava2.1.5;2.1.5;9;1341;org/xbill/DNS/Cache.java;257;286;29;3;96;1920;385;-1;0;4,987
dnsJava2.1.5;2.1.5;11;1375;update.java;316;342;26;3;70;3780;469;2;1;8,06
dnsJava2.1.5;2.1.5;11;1378;update.java;370;401;31;3;70;3780;469;-1;0;8,06
dnsJava2.1.5;2.1.5;13;1402;tests/org/xbill/DNS/SetResponseTest.java;44;65;21;3;76;540;81;4;1;6,667
dnsJava2.1.5;2.1.5;13;1405;tests/org/xbill/DNS/SetResponseTest.java;85;107;22;3;76;540;81;-1;0;6,667
dnsJava2.1.5;2.1.5;13;1408;tests/org/xbill/DNS/SetResponseTest.java;127;148;21;3;76;540;81;-1;0;6,667
dnsJava2.1.5;2.1.5;13;1409;tests/org/xbill/DNS/SetResponseTest.java;150;170;20;3;76;540;81;-1;0;6,667
dnsJava2.1.5;2.1.5;14;1418;tests/org/xbill/DNS/SectionTest.java;41;60;19;3;71;188;55;3;1;3,418
dnsJava2.1.5;2.1.5;14;2022;tests/org/xbill/DNS/RcodeTest.java;68;90;22;3;71;172;37;2;1;4,649
dnsJava2.1.5;2.1.5;14;2014;tests/org/xbill/DNS/OpcodeTest.java;41;63;22;3;71;93;22;1;1;4,227
dnsJava2.1.5;2.1.5;14;2074;tests/org/xbill/DNS/KEYRecordTest.java;90;108;18;3;71;378;68;-1;0;5,559
dnsJava2.1.5;2.1.5;14;1643;tests/org/xbill/DNS/ExtendedFlagsTest.java;41;63;22;3;71;88;21;1;1;4,19
