project;version;CloneClassID;pcid;file;startline;endline;len;type;similarity;TD;CodeSmell;recurrence;newPath;debt/smell
fastjson-1.2.20;1.2.20;1;256;src/test/java/com/alibaba/json/test/a/SpecialTest.java;18;45;27;1;100;135;29;2;1;4,655
fastjson-1.2.20;1.2.20;1;7842;src/test/java/com/alibaba/json/bvt/serializer/SpecialTest.java;39;66;27;1;100;190;46;2;1;4,13
fastjson-1.2.20;1.2.20;2;1746;src/test/java/com/alibaba/json/test/benchmark/BenchmarkMain_EishayDecode.java;27;44;17;1;100;193;28;2;1;6,893
fastjson-1.2.20;1.2.20;2;2149;src/test/java/com/alibaba/json/test/benchmark/BenchmarkMain_EishayDecode_WriteAsArray.java;44;61;17;1;100;199;30;2;1;6,633
fastjson-1.2.20;1.2.20;3;2178;src/test/java/com/alibaba/json/test/benchmark/BenchmarkMain_EishayEncode.java;29;46;17;1;100;170;25;2;1;6,8
fastjson-1.2.20;1.2.20;3;2181;src/test/java/com/alibaba/json/test/benchmark/BenchmarkMain_EishayEncode_WriteAsArray.java;39;56;17;1;100;182;25;2;1;7,28
fastjson-1.2.20;1.2.20;4;2629;src/test/java/com/alibaba/json/bvt/jsonfield/JSONFieldTest_1.java;18;48;30;1;100;197;33;1;1;5,97
fastjson-1.2.20;1.2.20;4;2636;src/test/java/com/alibaba/json/bvt/jsonfield/JSONFieldTest_0.java;18;48;30;1;100;205;33;1;1;6,212
fastjson-1.2.20;1.2.20;5;2829;src/test/java/com/alibaba/json/bvt/ListFieldTest.java;14;29;15;1;100;77;13;1;1;5,923
fastjson-1.2.20;1.2.20;5;2856;src/test/java/com/alibaba/json/bvt/StringBufferFieldTest.java;14;29;15;1;100;293;32;1;1;9,156
fastjson-1.2.20;1.2.20;5;11189;src/test/java/com/alibaba/json/bvt/StringFieldTest.java;13;28;15;1;100;114;19;1;1;6
fastjson-1.2.20;1.2.20;5;11147;src/test/java/com/alibaba/json/bvt/ListFieldTest2.java;14;29;15;1;100;87;13;1;1;6,692
fastjson-1.2.20;1.2.20;5;4830;src/test/java/com/alibaba/json/bvt/ArrayListFieldTest.java;14;29;15;1;100;107;15;1;1;7,133
fastjson-1.2.20;1.2.20;5;5650;src/test/java/com/alibaba/json/bvt/StringBuilderFieldTest.java;14;29;15;1;100;173;26;1;1;6,654
fastjson-1.2.20;1.2.20;6;2852;src/test/java/com/alibaba/json/bvt/EnumFieldTest2_private.java;42;53;11;1;100;293;55;4;1;5,327
fastjson-1.2.20;1.2.20;6;11231;src/test/java/com/alibaba/json/bvt/EnumFieldTest2.java;42;53;11;1;100;288;54;4;1;5,333
fastjson-1.2.20;1.2.20;7;2853;src/test/java/com/alibaba/json/bvt/EnumFieldTest2_private.java;55;66;11;1;100;293;55;-1;0;5,327
fastjson-1.2.20;1.2.20;7;11232;src/test/java/com/alibaba/json/bvt/EnumFieldTest2.java;55;66;11;1;100;288;54;-1;0;5,333
fastjson-1.2.20;1.2.20;8;2854;src/test/java/com/alibaba/json/bvt/EnumFieldTest2_private.java;68;79;11;1;100;293;55;-1;0;5,327
fastjson-1.2.20;1.2.20;8;11233;src/test/java/com/alibaba/json/bvt/EnumFieldTest2.java;68;79;11;1;100;288;54;-1;0;5,333
fastjson-1.2.20;1.2.20;9;2855;src/test/java/com/alibaba/json/bvt/EnumFieldTest2_private.java;81;92;11;1;100;293;55;-1;0;5,327
fastjson-1.2.20;1.2.20;9;11234;src/test/java/com/alibaba/json/bvt/EnumFieldTest2.java;81;92;11;1;100;288;54;-1;0;5,333
fastjson-1.2.20;1.2.20;10;2900;src/test/java/com/alibaba/json/bvt/FloatFieldTest_A.java;26;38;12;1;100;127;22;2;1;5,773
fastjson-1.2.20;1.2.20;10;10748;src/test/java/com/alibaba/json/bvt/DoubleFieldTest_A.java;26;38;12;1;100;127;22;2;1;5,773
fastjson-1.2.20;1.2.20;11;3003;src/test/java/com/alibaba/json/bvt/jdk8/LocalDateTimeTest3.java;14;26;12;1;100;82;15;1;1;5,467
fastjson-1.2.20;1.2.20;11;3022;src/test/java/com/alibaba/json/bvt/jdk8/LocalDateTimeTest3_private.java;14;26;12;1;100;87;16;1;1;5,438
fastjson-1.2.20;1.2.20;12;4572;src/test/java/com/alibaba/json/bvt/bug/Bug_for_generic.java;133;165;32;1;100;540;143;2;1;3,776
fastjson-1.2.20;1.2.20;12;11881;src/test/java/cn/com/tx/domain/pagination/Pagination.java;134;166;32;1;100;289;51;2;1;5,667
fastjson-1.2.20;1.2.20;13;4574;src/test/java/com/alibaba/json/bvt/bug/Bug_for_generic.java;179;190;11;1;100;540;143;-1;0;3,776
fastjson-1.2.20;1.2.20;13;11883;src/test/java/cn/com/tx/domain/pagination/Pagination.java;182;193;11;1;100;289;51;-1;0;5,667
fastjson-1.2.20;1.2.20;14;4817;src/test/java/com/alibaba/json/bvt/StringFieldTest_special_3.java;13;26;13;1;100;123;22;3;1;5,591
fastjson-1.2.20;1.2.20;14;11128;src/test/java/com/alibaba/json/bvt/StringFieldTest_special_singquote.java;13;26;13;1;100;138;23;3;1;6
fastjson-1.2.20;1.2.20;15;4826;src/test/java/com/alibaba/json/bvt/EnumFieldTest3.java;14;29;15;1;100;155;33;3;1;4,697
fastjson-1.2.20;1.2.20;15;5071;src/test/java/com/alibaba/json/bvt/EnumFieldTest3_private.java;14;29;15;1;100;160;34;3;1;4,706
fastjson-1.2.20;1.2.20;16;4827;src/test/java/com/alibaba/json/bvt/EnumFieldTest3.java;31;48;17;1;100;155;33;-1;0;4,697
fastjson-1.2.20;1.2.20;16;5072;src/test/java/com/alibaba/json/bvt/EnumFieldTest3_private.java;31;48;17;1;100;160;34;-1;0;4,706
