project;version;CloneClassID;pcid;file;startline;endline;len;type;similarity;TD;CodeSmell;recurrence;newPath;debt/smell
jabref-4.0;4.0;1;2631;src/test/java/org/jabref/gui/autocompleter/DefaultAutoCompleterTest.java;113;123;10;1;100;318;41;1;1;7,756
jabref-4.0;4.0;1;2676;src/test/java/org/jabref/gui/autocompleter/FieldValueSuggestionProviderTest.java;112;122;10;1;100;348;44;1;1;7,909
jabref-4.0;4.0;2;8147;src/main/java/org/jabref/gui/fieldeditors/LinkedFilesEditorViewModel.java;282;307;25;1;100;600;127;1;1;4,724
jabref-4.0;4.0;2;9709;src/main/java/org/jabref/gui/externalfiles/DownloadExternalFile.java;311;336;25;1;100;540;158;1;1;3,418
jabref-4.0;4.0;3;8261;src/main/java/org/jabref/gui/fieldeditors/TextField.java;102;113;11;1;100;259;74;1;1;3,5
jabref-4.0;4.0;3;8298;src/main/java/org/jabref/gui/fieldeditors/TextArea.java;111;121;10;1;100;229;61;1;1;3,754
jabref-4.0;4.0;4;8844;src/main/java/org/jabref/gui/importer/ImportInspectionDialog.java;1256;1265;9;1;100;3900;626;3;1;6,23
jabref-4.0;4.0;4;8849;src/main/java/org/jabref/gui/importer/ImportInspectionDialog.java;1344;1353;9;1;100;3900;626;-1;0;6,23
jabref-4.0;4.0;1;203;src/test/java/org/jabref/logic/l10n/LocalizationParser.java;132;150;18;2;100;660;149;4;1;4,43
jabref-4.0;4.0;1;204;src/test/java/org/jabref/logic/l10n/LocalizationParser.java;152;170;18;2;100;660;149;-1;0;4,43
jabref-4.0;4.0;2;1225;src/test/java/org/jabref/logic/importer/fileformat/BibtexParserTest.java;152;165;13;2;100;3600;341;36;1;10,557
jabref-4.0;4.0;2;1246;src/test/java/org/jabref/logic/importer/fileformat/BibtexParserTest.java;534;547;13;2;100;3600;341;-1;0;10,557
jabref-4.0;4.0;3;1552;src/test/java/org/jabref/logic/xmp/XMPUtilTest.java;910;973;63;2;100;3420;365;7;1;9,37
jabref-4.0;4.0;3;1553;src/test/java/org/jabref/logic/xmp/XMPUtilTest.java;976;1039;63;2;100;3420;365;-1;0;9,37
jabref-4.0;4.0;4;1986;src/test/java/org/jabref/model/TreeNodeTest.java;176;188;12;2;100;1140;176;8;1;6,477
jabref-4.0;4.0;4;1987;src/test/java/org/jabref/model/TreeNodeTest.java;191;203;12;2;100;1140;176;-1;0;6,477
jabref-4.0;4.0;5;1990;src/test/java/org/jabref/model/TreeNodeTest.java;228;238;10;2;100;1140;176;-1;0;6,477
jabref-4.0;4.0;5;1993;src/test/java/org/jabref/model/TreeNodeTest.java;255;265;10;2;100;1140;176;-1;0;6,477
jabref-4.0;4.0;6;2610;src/test/java/org/jabref/gui/groups/GroupNodeViewModelTest.java;95;107;12;2;100;540;69;5;1;7,826
jabref-4.0;4.0;6;2613;src/test/java/org/jabref/gui/groups/GroupNodeViewModelTest.java;140;152;12;2;100;540;69;-1;0;7,826
jabref-4.0;4.0;6;2611;src/test/java/org/jabref/gui/groups/GroupNodeViewModelTest.java;110;122;12;2;100;540;69;-1;0;7,826
jabref-4.0;4.0;6;2612;src/test/java/org/jabref/gui/groups/GroupNodeViewModelTest.java;125;137;12;2;100;540;69;-1;0;7,826
jabref-4.0;4.0;8;3022;src/main/java/org/jabref/preferences/JabRefPreferences.java;1548;1558;10;2;100;2460;463;3;1;5,313
jabref-4.0;4.0;8;3023;src/main/java/org/jabref/preferences/JabRefPreferences.java;1560;1570;10;2;100;2460;463;-1;0;5,313
jabref-4.0;4.0;9;3178;src/main/java/org/jabref/logic/journals/AbbreviationParser.java;68;78;10;2;100;304;57;1;1;5,333
jabref-4.0;4.0;9;4657;src/main/java/org/jabref/logic/protectedterms/ProtectedTermsParser.java;76;86;10;2;100;295;51;3;1;5,784
jabref-4.0;4.0;10;3443;src/main/java/org/jabref/logic/exporter/OpenOfficeDocumentCreator.java;95;108;13;2;100;265;51;3;1;5,196
jabref-4.0;4.0;10;3512;src/main/java/org/jabref/logic/exporter/OpenDocumentSpreadsheetCreator.java;113;126;13;2;100;409;57;3;1;7,175
jabref-4.0;4.0;11;3445;src/main/java/org/jabref/logic/exporter/OpenOfficeDocumentCreator.java;117;133;16;2;100;265;51;-1;0;5,196
jabref-4.0;4.0;11;3514;src/main/java/org/jabref/logic/exporter/OpenDocumentSpreadsheetCreator.java;135;151;16;2;100;409;57;-1;0;7,175
jabref-4.0;4.0;12;3909;src/main/java/org/jabref/logic/bibtexkeypattern/BibtexKeyPatternUtil.java;1293;1307;14;2;100;2940;730;2;1;4,027
jabref-4.0;4.0;12;3911;src/main/java/org/jabref/logic/bibtexkeypattern/BibtexKeyPatternUtil.java;1340;1354;14;2;100;2940;730;-1;0;4,027
jabref-4.0;4.0;13;4392;src/main/java/org/jabref/logic/importer/fileformat/CustomImporter.java;60;72;12;2;100;198;45;1;1;4,4
jabref-4.0;4.0;13;5498;src/main/java/org/jabref/model/entry/ParsedEntryLink.java;44;53;9;2;100;85;25;1;1;3,4
jabref-4.0;4.0;14;4628;src/main/java/org/jabref/logic/citationstyle/CitationStyle.java;166;176;10;2;100;248;69;1;1;3,594
jabref-4.0;4.0;14;5655;src/main/java/org/jabref/model/entry/KeywordList.java;171;180;9;2;100;244;82;1;1;2,976
jabref-4.0;4.0;15;5161;src/main/java/org/jabref/model/entry/Author.java;151;164;13;2;100;540;138;1;1;3,913
jabref-4.0;4.0;15;8106;src/main/java/org/jabref/gui/externalfiletype/ExternalFileType.java;210;221;11;2;100;266;83;1;1;3,205
jabref-4.0;4.0;16;5619;src/main/java/org/jabref/model/entry/AuthorList.java;462;490;28;2;100;540;175;3;1;3,086
jabref-4.0;4.0;16;5623;src/main/java/org/jabref/model/entry/AuthorList.java;564;593;29;2;100;540;175;-1;0;3,086
jabref-4.0;4.0;17;5888;src/main/java/org/jabref/model/bibtexkeypattern/AbstractBibtexKeyPattern.java;36;45;9;2;100;95;40;1;1;2,375
jabref-4.0;4.0;17;6000;src/main/java/org/jabref/model/metadata/SaveOrderConfig.java;102;112;10;2;100;411;99;2;1;4,152
jabref-4.0;4.0;18;6139;src/main/java/org/jabref/JabRefExecutorService.java;51;68;17;2;100;313;89;3;1;3,517
jabref-4.0;4.0;18;6143;src/main/java/org/jabref/JabRefExecutorService.java;98;115;17;2;100;313;89;-1;0;3,517
jabref-4.0;4.0;19;6634;src/main/java/org/jabref/gui/undo/UndoableStringChange.java;35;49;14;2;100;90;24;2;1;3,75
jabref-4.0;4.0;19;6635;src/main/java/org/jabref/gui/undo/UndoableStringChange.java;52;65;13;2;100;90;24;-1;0;3,75
jabref-4.0;4.0;20;6928;src/main/java/org/jabref/gui/maintable/MainTableDataModel.java;77;102;25;2;100;389;122;2;1;3,189
jabref-4.0;4.0;20;6929;src/main/java/org/jabref/gui/maintable/MainTableDataModel.java;104;129;25;2;100;389;122;-1;0;3,189
jabref-4.0;4.0;21;7859;src/main/java/org/jabref/gui/preftabs/NameFormatterTab.java;254;275;21;2;100;660;135;3;1;4,889
jabref-4.0;4.0;21;7882;src/main/java/org/jabref/gui/preftabs/TableColumnsTab.java;491;512;21;2;100;2040;331;4;1;6,163
jabref-4.0;4.0;24;8593;src/main/java/org/jabref/gui/keyboard/EmacsKeyBindings.java;320;337;17;2;100;1500;306;5;1;4,902
jabref-4.0;4.0;24;8595;src/main/java/org/jabref/gui/keyboard/EmacsKeyBindings.java;354;371;17;2;100;1500;306;-1;0;4,902
jabref-4.0;4.0;25;8622;src/main/java/org/jabref/gui/keyboard/EmacsKeyBindings.java;728;744;16;2;100;1500;306;-1;0;4,902
jabref-4.0;4.0;25;8624;src/main/java/org/jabref/gui/keyboard/EmacsKeyBindings.java;758;774;16;2;100;1500;306;-1;0;4,902
jabref-4.0;4.0;27;9308;src/main/java/org/jabref/gui/BasePanel.java;1957;1968;11;2;100;4260;930;4;1;4,581
jabref-4.0;4.0;27;9309;src/main/java/org/jabref/gui/BasePanel.java;1970;1981;11;2;100;4260;930;-1;0;4,581
jabref-4.0;4.0;1;131;src/test/java/org/jabref/logic/bst/TestVM.java;117;136;19;3;93;1320;172;2;1;7,674
jabref-4.0;4.0;1;132;src/test/java/org/jabref/logic/bst/TestVM.java;139;159;20;3;93;1320;172;-1;0;7,674
jabref-4.0;4.0;2;166;src/test/java/org/jabref/logic/l10n/LocalizationEntry.java;31;46;15;3;70;118;32;1;1;3,688
jabref-4.0;4.0;2;7102;src/main/java/org/jabref/gui/groups/GroupNodeViewModel.java;149;163;14;3;70;540;119;1;1;4,538
